date,close
21-Jan-15,3723023
22-Jan-15,3725540
26-Jan-15,3725685
29-Jan-15,3725940
30-Jan-15,3726752
31-Jan-15,3729877
2-Feb-15,3730723
3-Feb-15,3731761
4-Feb-15,3732608
5-Feb-15,3730767
6-Feb-15,3729873
8-Feb-15,3727082
9-Feb-15,3727962
10-Feb-15,3728843
11-Feb-15,3729519
12-Feb-15,3730113
13-Feb-15,3731097
15-Feb-15,3732306
16-Feb-15,3739187
17-Feb-15,3740155
18-Feb-15,3741011
19-Feb-15,3741810
20-Feb-15,3742394
22-Feb-15,3742868
23-Feb-15,3743895
24-Feb-15,3744812
25-Feb-15,3744970
26-Feb-15,3746537
27-Feb-15,3746991
28-Feb-15,3749254
1-Mar-15,3749715
2-Mar-15,3750220
3-Mar-15,3750701
4-Mar-15,3751776
5-Mar-15,3752453
6-Mar-15,3898777
8-Mar-15,3898965
9-Mar-15,3899801
10-Mar-15,3900943
11-Mar-15,3901050
12-Mar-15,3902423
13-Mar-15,3922830
15-Mar-15,3925356
16-Mar-15,3925986
17-Mar-15,3924050
18-Mar-15,3924965
20-Mar-15,3946446
22-Mar-15,3947097
23-Mar-15,3947943
24-Mar-15,3948021
25-Mar-15,3949047
26-Mar-15,3950438
27-Mar-15,3950798
30-Mar-15,3950894
31-Mar-15,3955234
1-Apr-15,3955762
2-Apr-15,3956291
3-Apr-15,3956720
7-Apr-15,3957990
8-Apr-15,3959618
9-Apr-15,3960149
10-Apr-15,3977295
14-Apr-15,3977538
30-Apr-15,3978992
4-May-15,3979292
5-May-15,3979798
6-May-15,3979125
7-May-15,3977211
15-May-15,3977047
21-May-15,3978562
26-May-15,3978687
28-May-15,3979560
31-May-15,3980623
10-Jun-15,3971986
15-Jun-15,3983335
17-Jun-15,3984303
30-Jun-15,3984463
5-Jul-15,3982509
6-Jul-15,3980572
9-Jul-15,4013292
15-Jul-15,4015065
31-Jul-15,4015256
13-Aug-15,4016227
15-Aug-15,4014945
16-Aug-15,4015070
23-Aug-15,4014091
25-Aug-15,4089023
29-Aug-15,4088078
6-Sep-15,4088099
13-Sep-15,4087139
17-Sep-15,4086760
28-Sep-15,4085609
30-Sep-15,4045650
1-Oct-15,4048367
2-Oct-15,4181658
4-Oct-15,4180946
15-Oct-15,4179179
19-Oct-15,4180631
27-Oct-15,4180180
31-Oct-15,4177141
2-Nov-15,4178290
3-Nov-15,4287293
15-Nov-15,4286924
17-Nov-15,4289792
28-Nov-15,4289554
30-Nov-15,4280010
2-Dec-15,4279128
10-Dec-15,4389735
17-Dec-15,4390439
31-Dec-15,4595198
15-Jan-16,4595578
19-Jan-16,4597436
31-Jan-16,4596964
7-Feb-16,4598219
15-Feb-16,4715744
17-Feb-16,4718279
29-Feb-16,4775908
3-Mar-16,4804856
15-Mar-16,4804714
16-Mar-16,4801050
31-Mar-16,4801628
4-Apr-16,4804221
11-Apr-16,4837572
19-Apr-16,4841807
25-Apr-16,4842896
